,Likes,Comments,Female,Male,Age,Sunglasses,Beard,Mustache,Smile,Eyeglasses,SURPRISED,ANGRY,CONFUSED,HAPPY,CALM,DISGUSTED,SAD,Objects,Filters,Website,Followers,Follows
187920333,19.5,0.6666666666666666,2.5,1.0,23.75,0.0,0.5,1.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.333333333333333,0.3333333333333333,0.0,68.0,6.0
312682501,19.328244274809162,1.1488549618320612,0.3320610687022901,0.5610687022900763,4.269546611149665,0.03435114503816794,0.183206106870229,0.14885496183206107,0.44656488549618323,0.13740458015267176,0.019083969465648856,0.011450381679389313,0.003816793893129771,0.18702290076335878,0.0,0.0,0.003816793893129771,3.4083969465648853,0.38549618320610685,1.0,252.0,273.0
143854846,18.039295392953928,0.6124661246612466,1.4268292682926829,0.45934959349593496,9.55677506775068,0.27235772357723576,0.14634146341463414,0.0975609756097561,1.065040650406504,0.3048780487804878,0.037940379403794036,0.0040650406504065045,0.0,0.43902439024390244,0.0,0.0,0.028455284552845527,4.463414634146342,0.38346883468834686,0.0,260.0,744.0
4185084,3.5254237288135593,0.5084745762711864,0.0,0.4576271186440678,4.771186440677966,0.0,0.2542372881355932,0.2033898305084746,0.0,0.2542372881355932,0.0,0.0,0.0,0.03389830508474576,0.01694915254237288,0.0,0.0,4.186440677966102,0.4406779661016949,0.0,24.0,64.0
1429720420,14.6875,0.5,0.0,0.1875,2.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,3.125,0.0,0.0,39.0,16.0
183823541,3.208434712084347,0.19140308191403083,0.927007299270073,0.559610705596107,9.867597420152165,0.13381995133819952,0.19464720194647203,0.1654501216545012,0.4768856447688564,0.2895377128953771,0.032441200324412,0.0040551500405515,0.004866180048661801,0.21897810218978103,0.006488240064882401,0.0024330900243309003,0.025141930251419302,4.1630170316301705,0.38523925385239255,1.0,148.0,1344.0
34069800,6.971774193548387,0.3064516129032258,2.5120967741935485,1.653225806451613,12.031945341471554,0.4596774193548387,0.39919354838709675,0.3225806451612903,2.8024193548387095,0.5846774193548387,0.05913978494623656,0.004032258064516129,0.005376344086021506,1.075268817204301,0.0013440860215053765,0.006720430107526882,0.01478494623655914,5.106182795698925,0.09274193548387097,0.0,456.0,757.0
3041716852,33.35496688741722,1.7403973509933774,0.1509933774834437,0.20662251655629138,3.2369441816461686,0.04768211920529802,0.06754966887417219,0.04370860927152318,0.06754966887417219,0.07549668874172186,0.006622516556291391,0.0026490066225165563,0.0026490066225165563,0.045033112582781455,0.0013245033112582781,0.0013245033112582781,0.003973509933774834,3.622516556291391,0.6543046357615894,0.0,228.0,779.0
2010977006,7.064516129032258,0.2903225806451613,2.225806451612903,1.2580645161290323,25.086021505376344,0.2903225806451613,0.2903225806451613,0.2903225806451613,1.8387096774193548,0.5806451612903226,0.06451612903225806,0.0,0.0,0.6451612903225806,0.0,0.0,0.03225806451612903,4.838709677419355,0.22580645161290322,0.0,98.0,32.0
494837119,8.272340425531915,0.33617021276595743,0.5361702127659574,0.33191489361702126,6.942730496453901,0.08936170212765958,0.06382978723404255,0.10212765957446808,0.2680851063829787,0.16595744680851063,0.02553191489361702,0.0,0.0,0.12340425531914893,0.00425531914893617,0.0,0.00851063829787234,3.4893617021276597,0.8638297872340426,1.0,355.0,239.0
20621627,9.704,1.072,0.192,0.768,7.982666666666666,0.096,0.264,0.168,0.36,0.216,0.024,0.0,0.0,0.16,0.0,0.008,0.0,4.16,0.384,0.0,218.0,125.0
